"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,230,"TGO","Togo",1,"Centre",1,"Sotouboua","Préfecture","Prefecture",NA,NA
2,230,"TGO","Togo",1,"Centre",2,"Tchamba (Nyala)","Préfecture","Prefecture",NA,"Nyala|Tchamba"
3,230,"TGO","Togo",1,"Centre",3,"Tchaudjo","Préfecture","Prefecture",NA,"Sokodé|Tchaoudjo"
4,230,"TGO","Togo",2,"Kara",4,"Assoli","Préfecture","Prefecture",NA,"Bafilo"
5,230,"TGO","Togo",2,"Kara",5,"Bassar","Préfecture","Prefecture",NA,"Bassari"
6,230,"TGO","Togo",2,"Kara",6,"Bimah","Préfecture","Prefecture",NA,"Binah|Pagouda|Kpagouda"
7,230,"TGO","Togo",2,"Kara",7,"Doufelgou","Préfecture","Prefecture",NA,"Niamtougou"
8,230,"TGO","Togo",2,"Kara",8,"Kéran","Préfecture","Prefecture",NA,"Kandé|Kanté"
9,230,"TGO","Togo",2,"Kara",9,"Kozah","Préfecture","Prefecture",NA,"Kara|Lama-Kara"
10,230,"TGO","Togo",3,"Maritime",10,"Golfe (incl Lomé)","Commune and Préfecture","Commune and Prefecture",NA,"Golfe|Lomé"
11,230,"TGO","Togo",3,"Maritime",11,"Lacs","Préfecture","Prefecture",NA,"Anécho|Aného"
12,230,"TGO","Togo",3,"Maritime",12,"Vo","Préfecture","Prefecture",NA,"Vogan"
13,230,"TGO","Togo",3,"Maritime",13,"Yoto","Préfecture","Prefecture",NA,"Tabligbo"
14,230,"TGO","Togo",3,"Maritime",14,"Zio","Préfecture","Prefecture",NA,"Tsévié"
15,230,"TGO","Togo",4,"Plateaux",15,"Amou","Préfecture","Prefecture",NA,"Amlamé"
16,230,"TGO","Togo",4,"Plateaux",16,"Haho","Préfecture","Prefecture",NA,"Nuatja|Notsé"
17,230,"TGO","Togo",4,"Plateaux",17,"Kloto","Préfecture","Prefecture",NA,"Kpalimé|Palimé|Klouto"
18,230,"TGO","Togo",4,"Plateaux",18,"Ogou","Préfecture","Prefecture",NA,"Atakpamé"
19,230,"TGO","Togo",4,"Plateaux",19,"Wawa","Préfecture","Prefecture",NA,"Badou"
20,230,"TGO","Togo",5,"Savanes",20,"Oti","Préfecture","Prefecture",NA,"Sansanne-Mango|Mango"
21,230,"TGO","Togo",5,"Savanes",21,"Tône","Préfecture","Prefecture",NA,"Dapango|Tôné|Dapaong"
